,male,female,age
0,46.0,44.0,0
1,46.3,44.4,1
2,46.6,44.5,2
3,46.6,44.4,3
4,46.4,44.2,4
5,46.1,43.8,5
6,45.7,43.3,6
7,45.2,42.8,7
8,44.6,42.2,8
9,44.0,41.7,9
10,43.5,41.2,10
11,43.0,40.8,11
12,42.5,40.3,12
13,42.2,40.1,13
14,42.2,40.3,14
15,42.4,40.6,15
16,42.8,41.1,16
17,43.2,41.6,17
18,43.8,42.3,18
19,44.8,43.3,19
20,46.0,44.4,20
21,47.2,45.6,21
22,48.5,46.9,22
23,49.9,48.3,23
24,51.4,49.8,24
25,52.9,51.3,25
26,54.3,52.8,26
27,55.8,54.3,27
28,57.1,55.7,28
29,58.1,56.7,29
30,58.8,57.5,30
31,59.5,58.2,31
32,60.0,58.8,32
33,60.6,59.4,33
34,61.3,60.3,34
35,62.1,61.3,35
36,62.8,62.1,36
37,63.5,63.1,37
38,63.6,63.2,38
39,62.5,62.1,39
40,60.9,60.4,40
41,59.3,58.7,41
42,57.8,57.0,42
43,56.8,56.0,43
44,56.7,56.0,44
45,57.3,56.6,45
46,57.8,57.2,46
47,58.2,57.7,47
48,59.2,58.7,48
49,61.1,60.4,49
50,63.5,62.6,50
51,65.7,64.0,51
52,68.1,66.7,52
53,69.5,68.0,53
54,69.5,68.1,54
55,68.6,67.3,55
56,67.6,66.6,56
57,66.5,65.7,57
58,63.1,64.4,58
59,60.9,62.4,59
60,58.6,60.0,60
61,56.2,57.5,61
62,53.7,54.9,62
63,51.2,52.5,63
64,48.7,50.6,64
65,46.2,48.9,65
66,43.5,47.2,66
67,41.6,45.3,67
68,40.9,44.1,68
69,41.1,43.8,69
70,41.1,44.1,70
71,41.1,44.3,71
72,41.2,44.6,72
73,40.6,44.3,73
74,38.8,42.9,74
75,36.3,40.9,75
76,34.0,38.9,76
77,31.6,36.9,77
78,29.2,34.8,78
79,27.0,32.8,79
80,24.8,30.9,80
81,22.5,28.8,81
82,20.2,26.7,82
83,18.1,24.6,83
84,16.3,22.8,84
85,14.6,21.2,85
86,12.9,19.5,86
87,11.4,17.9,87
88,10.0,16.3,88
89,8.5,14.6,89
90,6.9,12.7,90
91,5.3,10.9,91
92,4.2,9.8,92
93,3.5,8.5,93
94,2.7,6.8,94
95,1.7,4.5,95
96,1.1,3.4,96
97,0.9,2.7,97
98,0.6,2.0,98
99,0.3,1.0,99
100,0.3,1.4,100
